k,coor_x,coor_y,t_e,t_i,t_r,ftype0,ftype1,ftype2,herdn,status
0,144.901,-36.4348,0,9e+06,9e+06,0,1,0,3209,2
1,144.924,-36.4288,9e+06,9e+06,9e+06,0,0,1,1705,1
2,144.924,-36.4288,9e+06,9e+06,9e+06,1,0,0,133,1
3,144.903,-36.4205,9e+06,9e+06,9e+06,1,0,0,213,1
4,144.907,-36.4179,9e+06,9e+06,9e+06,1,0,0,127,1
5,144.898,-36.431,9e+06,9e+06,9e+06,0,0,1,6,1
6,144.927,-36.4573,9e+06,9e+06,9e+06,0,0,1,1176,1
7,144.935,-36.4647,9e+06,9e+06,9e+06,1,0,0,201,1
8,144.883,-36.45,9e+06,9e+06,9e+06,0,0,1,1235,1
9,144.887,-36.4185,9e+06,9e+06,9e+06,1,0,0,561,1
10,144.892,-36.4314,9e+06,9e+06,9e+06,0,1,0,135,1
11,144.563,-36.5257,9e+06,9e+06,9e+06,1,0,0,144,1
12,144.523,-36.6141,9e+06,9e+06,9e+06,1,0,0,145,1
13,145.284,-37.1517,9e+06,9e+06,9e+06,1,0,0,141,1
14,144.049,-35.6277,9e+06,9e+06,9e+06,0,1,0,86,1
15,142.246,-37.8965,9e+06,9e+06,9e+06,1,0,0,290,1
16,144.494,-36.2335,9e+06,9e+06,9e+06,1,0,0,155,1
17,144.93,-36.4172,9e+06,9e+06,9e+06,1,0,0,326,1
18,144.497,-36.235,9e+06,9e+06,9e+06,0,0,1,8,1
19,144.313,-35.8745,9e+06,9e+06,9e+06,0,1,0,1692,1
20,144.89,-36.4185,9e+06,9e+06,9e+06,1,0,0,32,1
21,145.273,-37.0165,9e+06,9e+06,9e+06,0,1,0,188,1
22,144.887,-36.4061,9e+06,9e+06,9e+06,1,0,0,273,1
23,144.563,-36.5257,9e+06,9e+06,9e+06,0,0,1,1743,1
24,144.54,-37.147,9e+06,9e+06,9e+06,1,0,0,179,1
25,145.284,-36.9997,9e+06,9e+06,9e+06,0,0,1,1998,1
26,144.938,-36.4629,9e+06,9e+06,9e+06,0,0,1,1350,1
27,144.955,-36.4697,9e+06,9e+06,9e+06,0,0,1,1054,1
28,144.87,-36.4066,9e+06,9e+06,9e+06,1,0,0,292,1
29,144.293,-35.8819,9e+06,9e+06,9e+06,1,0,0,399,1
30,145.31,-37.5911,9e+06,9e+06,9e+06,1,0,0,35,1
31,145.273,-37.0107,9e+06,9e+06,9e+06,1,0,0,159,1
32,145.742,-35.591,9e+06,9e+06,9e+06,1,0,0,403,1
33,144.868,-36.1392,9e+06,9e+06,9e+06,1,0,0,85,1
34,144.656,-35.9509,9e+06,9e+06,9e+06,1,0,0,36,1
35,145.381,-36.1096,9e+06,9e+06,9e+06,1,0,0,204,1
36,144.845,-36.1867,9e+06,9e+06,9e+06,1,0,0,102,1
37,144.899,-36.1769,9e+06,9e+06,9e+06,1,0,0,145,1
38,144.035,-36.7779,9e+06,9e+06,9e+06,1,0,0,56,1
39,144.064,-36.4215,9e+06,9e+06,9e+06,1,0,0,53,1
40,146.036,-36.3008,9e+06,9e+06,9e+06,1,0,0,279,1
41,144.546,-37.1482,9e+06,9e+06,9e+06,0,0,1,789,1
42,144.845,-36.1867,9e+06,9e+06,9e+06,0,0,1,302,1
43,144.868,-36.1733,9e+06,9e+06,9e+06,0,0,1,5,1
44,144.525,-37.1704,9e+06,9e+06,9e+06,0,0,1,1790,1
45,144.925,-36.4525,9e+06,9e+06,9e+06,0,0,1,694,1
46,144.035,-36.7779,9e+06,9e+06,9e+06,0,0,1,1828,1
47,142.225,-37.8823,9e+06,9e+06,9e+06,1,0,0,334,1
48,144.354,-35.8813,9e+06,9e+06,9e+06,1,0,0,342,1
49,144.438,-36.2339,9e+06,9e+06,9e+06,1,0,0,185,1
50,144.864,-36.4031,9e+06,9e+06,9e+06,1,0,0,532,1
51,143.886,-35.5338,9e+06,9e+06,9e+06,1,0,0,89,1
52,145.213,-36.3249,9e+06,9e+06,9e+06,1,0,0,222,1
53,141.9,-37.8717,9e+06,9e+06,9e+06,1,0,0,284,1
54,142.225,-37.8823,9e+06,9e+06,9e+06,0,0,1,4886,1
55,144.872,-36.1386,9e+06,9e+06,9e+06,1,0,0,540,1
56,145.202,-36.2564,9e+06,9e+06,9e+06,1,0,0,39,1
57,144.658,-37.2706,9e+06,9e+06,9e+06,1,0,0,44,1
58,145.336,-36.8204,9e+06,9e+06,9e+06,1,0,0,153,1
59,145.284,-36.9997,9e+06,9e+06,9e+06,1,0,0,242,1
60,143.468,-36.9375,9e+06,9e+06,9e+06,0,1,0,289,1
61,144.54,-37.147,9e+06,9e+06,9e+06,0,0,1,462,1
62,146.036,-36.3008,9e+06,9e+06,9e+06,0,0,1,492,1
63,145.279,-37.165,9e+06,9e+06,9e+06,1,0,0,60,1
64,144.341,-36.0753,9e+06,9e+06,9e+06,1,0,0,35,1
65,146.04,-36.2942,9e+06,9e+06,9e+06,0,0,1,661,1
66,145.272,-37.0324,9e+06,9e+06,9e+06,0,0,1,886,1
67,146.446,-36.2911,9e+06,9e+06,9e+06,1,0,0,148,1
68,145.273,-37.0107,9e+06,9e+06,9e+06,0,0,1,1212,1
69,145.747,-35.6004,9e+06,9e+06,9e+06,1,0,0,151,1
70,144.849,-36.3991,9e+06,9e+06,9e+06,1,0,0,107,1
71,144.793,-35.8442,9e+06,9e+06,9e+06,0,0,1,1423,1
72,146.047,-36.2813,9e+06,9e+06,9e+06,1,0,0,217,1
73,146.446,-36.2911,9e+06,9e+06,9e+06,0,0,1,508,1
74,141.904,-37.8842,9e+06,9e+06,9e+06,0,0,1,3988,1
75,145.748,-35.5885,9e+06,9e+06,9e+06,1,0,0,894,1
76,144.85,-36.3866,9e+06,9e+06,9e+06,1,0,0,459,1
77,144.873,-36.4448,9e+06,9e+06,9e+06,1,0,0,255,1
78,145.336,-36.8204,9e+06,9e+06,9e+06,0,0,1,713,1
79,146.435,-36.3098,9e+06,9e+06,9e+06,1,0,0,114,1
80,146.047,-36.2813,9e+06,9e+06,9e+06,0,0,1,721,1
81,144.833,-36.1871,9e+06,9e+06,9e+06,1,0,0,279,1
82,144.849,-36.1773,9e+06,9e+06,9e+06,1,0,0,420,1
83,144.412,-36.2248,9e+06,9e+06,9e+06,0,0,1,997,1
84,144.536,-37.1742,9e+06,9e+06,9e+06,0,0,1,965,1
85,144.537,-37.145,9e+06,9e+06,9e+06,0,0,1,796,1
86,144.851,-36.4032,9e+06,9e+06,9e+06,1,0,0,69,1
87,144.718,-36.4577,9e+06,9e+06,9e+06,1,0,0,259,1
88,145.272,-37.0324,9e+06,9e+06,9e+06,1,0,0,213,1
89,145.747,-35.6004,9e+06,9e+06,9e+06,0,0,1,680,1
90,144.956,-36.4568,9e+06,9e+06,9e+06,0,0,1,1220,1
91,146.04,-36.2942,9e+06,9e+06,9e+06,1,0,0,175,1
92,141.904,-37.8842,9e+06,9e+06,9e+06,1,0,0,268,1
93,146.421,-36.2978,9e+06,9e+06,9e+06,0,0,1,974,1
94,144.86,-36.3703,9e+06,9e+06,9e+06,1,0,0,346,1
95,144.887,-36.3692,9e+06,9e+06,9e+06,1,0,0,268,1
96,144.89,-36.3875,9e+06,9e+06,9e+06,1,0,0,377,1
97,144.897,-36.3746,9e+06,9e+06,9e+06,1,0,0,113,1
98,144.534,-36.3703,9e+06,9e+06,9e+06,0,1,0,844,1
99,146.421,-36.3755,9e+06,9e+06,9e+06,0,1,0,83,1
